"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.768593866E2,6.505803493E1,2.547560064E1,1.856463933E1,1.113910224E0,3.258405637E1,4.817940137E0,3.257604928E0
1.778593793E2,6.505804547E1,2.547562068E1,1.836810084E1,1.038702253E0,3.152447460E1,4.824055942E0,3.248541411E0
1.788593723E2,6.505805303E1,2.547564385E1,1.822635798E1,9.066448659E-1,4.052421695E1,4.825490824E0,3.246409608E0
1.798593651E2,6.505806127E1,2.547566241E1,1.777691171E1,8.646510827E-1,4.015980770E1,4.827251995E0,3.243790254E0
1.808593585E2,6.505807430E1,2.547568788E1,1.802105989E1,1.095230021E0,3.950731364E1,4.820464953E0,3.253867648E0
1.818593510E2,6.505808914E1,2.547571551E1,1.840603091E1,1.287453132E0,3.972892476E1,4.824075010E0,3.248513095E0
1.828593440E2,6.505810181E1,2.547573909E1,1.803205793E1,1.202330725E0,3.812318973E1,4.825394827E0,3.246552294E0
1.838593369E2,6.505811301E1,2.547575670E1,1.779537617E1,1.072946461E0,3.567670402E1,4.823572300E0,3.249259501E0
1.848593297E2,6.505812382E1,2.547578490E1,1.789175939E1,1.120476191E0,3.766037607E1,4.824924798E0,3.247250795E0
1.858593255E2,6.505813437E1,2.547580540E1,1.767946602E1,1.044435335E0,3.852701462E1,4.823707639E0,3.249058578E0
1.868593154E2,6.505814643E1,2.547583164E1,1.740991683E1,1.169431416E0,3.899218691E1,4.824872881E0,3.247327935E0
1.878593082E2,6.505815972E1,2.547585177E1,1.705560915E1,1.177082052E0,3.606326202E1,4.823461794E0,3.249423542E0
1.888593034E2,6.505816777E1,2.547586874E1,1.706122264E1,9.769256794E-1,3.983607687E1,4.819398226E0,3.255447400E0
1.898592939E2,6.505817863E1,2.547589073E1,1.704964937E1,1.001179088E0,4.311332706E1,4.822340031E0,3.251088074E0
1.908592869E2,6.505819042E1,2.547590501E1,1.700283170E1,9.379534459E-1,3.755343352E1,4.819107353E0,3.255877969E0
1.918592796E2,6.505820120E1,2.547593135E1,1.700595952E1,1.074846290E0,3.778092566E1,4.822950552E0,3.250182304E0
1.928592724E2,6.505821061E1,2.547595353E1,1.666508213E1,1.128387061E0,4.125195776E1,4.828447642E0,3.242010241E0
1.938592674E2,6.505822449E1,2.547597330E1,1.611173888E1,1.258391497E0,4.022408040E1,4.819065914E0,3.255939304E0
1.948592578E2,6.505823624E1,2.547599288E1,1.608108279E1,1.207235265E0,3.945798126E1,4.815522477E0,3.261177748E0
1.958592507E2,6.505824740E1,2.547600676E1,1.564806872E1,1.125483570E0,3.595650370E1,4.814226709E0,3.263090288E0
1.968592439E2,6.505825967E1,2.547602686E1,1.543618317E1,1.136406663E0,3.376348448E1,4.814670639E0,3.262435236E0
1.978592376E2,6.505827287E1,2.547604264E1,1.565632319E1,1.131256380E0,3.392914662E1,4.804538087E0,3.277338981E0
1.988592292E2,6.505828378E1,2.547605452E1,1.581772845E1,1.106690578E0,3.170381046E1,4.801928631E0,3.281161144E0
1.998592222E2,6.505829423E1,2.547606214E1,1.579842538E1,9.969324050E-1,2.833428907E1,4.797317023E0,3.287900000E0
2.008592149E2,6.505830650E1,2.547606854E1,1.596657096E1,1.007000396E0,2.009695622E1,4.782750699E0,3.309053155E0
2.018592082E2,6.505831603E1,2.547607996E1,1.595035984E1,9.641287979E-1,2.022041985E1,4.782393393E0,3.309569528E0
2.028592004E2,6.505832735E1,2.547609039E1,1.593450732E1,9.733449748E-1,1.895222394E1,4.774937652E0,3.320317373E0
2.038591928E2,6.505834238E1,2.547610940E1,1.612500054E1,1.216750970E0,2.113382625E1,4.774349961E0,3.321162369E0
2.048591881E2,6.505835207E1,2.547611772E1,1.605955838E1,1.128959813E0,2.007068742E1,4.768926983E0,3.328944647E0
2.058591796E2,6.505836358E1,2.547612706E1,1.591059313E1,1.017034152E0,1.899274509E1,4.770260616E0,3.327033317E0
2.068591720E2,6.505837865E1,2.547614138E1,1.632062090E1,1.214350407E0,1.748727879E1,4.768239707E0,3.329928998E0
2.078591648E2,6.505839013E1,2.547615404E1,1.620655761E1,1.252124096E0,1.801498649E1,4.763244104E0,3.337070967E0
2.088591570E2,6.505839965E1,2.547617218E1,1.626240120E1,1.151761924E0,2.111398497E1,4.757194602E0,3.345689249E0
2.098591501E2,6.505841523E1,2.547617573E1,1.621749706E1,1.199384969E0,1.460438164E1,4.748688684E0,3.357751155E0
